Mussel,Finfish,Kelp ,Halibut ,Viewshed_max,Benthic ,Disease 
6.89E+07,5.93E+06,0,667.93,1043.1,0.5684,0.0012659
6.87E+07,5.16E+06,0,624.21,912.81,0.58772,0.00016008
6.84E+07,4.60E+06,0,617.69,880.11,0.60278,0.00016008
6.81E+07,4.26E+06,0,668.04,1209.1,0.61363,0.00016008
6.85E+07,0,0,739.65,4462.3,0,0
6.99E+07,0,0,165.81,1060.4,0,0
6.38E+07,4.43E+06,0,397.11,2159.1,0.4938,0.028393
6.38E+07,3.61E+06,0,577.7,2620.3,0.50931,0.028393
6.35E+07,3.20E+06,0,712.79,2832.3,0.5327,0.028393
6.39E+07,3.78E+06,0,697.47,4119.6,0.56862,0.028393
6.40E+07,4.85E+06,0,657.18,3878.5,0.60428,0.028393
6.35E+07,6.11E+06,0,809.71,4407.9,0.59669,0.028393
6.22E+07,0,0,411.49,4779.1,0,0
6.20E+07,0,0,666.94,5382.5,0,0
0,2.60E+06,0,9.8802,4698.7,0.5162,0.074939
6.42E+07,3.14E+06,0,225.17,5624.8,0.5218,0.074939
6.42E+07,3.47E+06,0,211.71,5732.1,0.53259,0.074939
6.54E+07,5.59E+06,0,196.56,0,0.50493,0.074939
6.55E+07,4.83E+06,0,244.37,0,0.50701,0.074939
6.55E+07,4.27E+06,0,247.43,0,0.50943,0.074939
6.44E+07,2.31E+06,0,313.42,4232.6,0.53282,0.074939
6.42E+07,2.86E+06,0,348.69,5106.2,0.53432,0.074939
6.39E+07,3.27E+06,0,404.22,5489.9,0.54694,0.074939
0,6.25E+06,0,97.48,0,0.50007,0.074939
6.57E+07,5.89E+06,0,205.64,0,0.50688,0.074939
6.58E+07,5.24E+06,0,290.11,0,0.51223,0.074939
6.58E+07,4.37E+06,0,314.17,0,0.5147,0.074939
6.58E+07,3.66E+06,0,332.67,0,0.51831,0.074939
6.55E+07,2.88E+06,0,367.73,0,0.52148,0.074939
6.56E+07,2.37E+06,0,406.72,0,0.5255,0.074939
6.53E+07,1.80E+06,0,512.48,0,0.53164,0.074939
6.44E+07,2.04E+06,0,435.83,3792.7,0.54626,0.074939
6.42E+07,2.60E+06,0,500.32,4501.4,0.55011,0.074939
6.39E+07,3.25E+06,0,654.16,4683.7,0.56977,0.074939
6.35E+07,4.88E+06,0,789.8,5159.1,0.61298,0.074939
6.17E+07,0,0,511.95,4168.1,0,0
0,5.96E+06,0,95.292,0,0.49936,0.091133
6.57E+07,5.70E+06,0,196.53,0,0.50611,0.091133
6.58E+07,5.26E+06,0,271.75,0,0.51156,0.091133
6.61E+07,4.73E+06,0,314.23,0,0.51628,0.074939
6.61E+07,4.04E+06,0,350.02,0,0.52108,0.074939
6.58E+07,3.17E+06,0,374.38,0,0.52453,0.074939
6.58E+07,2.50E+06,0,423.74,0,0.53083,0.074939
6.56E+07,1.71E+06,0,465.87,0,0.53591,0.074939
6.53E+07,1.23E+06,0,593.62,0,0.54585,0.074939
6.51E+07,9.11E+05,0,655.76,0,0.54857,0.074939
6.48E+07,8.98E+05,0,654.06,70.627,0.54902,0.074939
6.46E+07,9.72E+05,0,366.67,1347.6,0.53647,0.074939
6.44E+07,1.89E+06,0,589.4,3363.3,0.56271,0.074939
6.41E+07,2.43E+06,0,735.75,3987.7,0.57508,0.074939
6.40E+07,4.09E+06,0,789.15,4290.9,0.60394,0.074939
6.30E+07,0,0,564.4,5007.7,0,0
0,5.41E+06,0,99.704,0,0.50186,0.091133
6.60E+07,4.98E+06,0,220.03,0,0.50872,0.091133
6.61E+07,4.55E+06,0,252.93,0,0.51348,0.091133
6.61E+07,9.33E+06,0,313.59,0,0.62254,0.091133
6.61E+07,3.71E+06,0,387.07,0,0.52804,0.091133
6.59E+07,2.88E+06,0,475.04,0,0.53529,0.074939
6.59E+07,2.26E+06,0,566.94,0,0.54658,0.074939
6.56E+07,1.52E+06,0,644.6,0,0.55572,0.074939
6.53E+07,1.04E+06,0,687.51,0,0.56082,0.074939
6.51E+07,6.94E+05,0,701.54,0,0.56028,0.074939
6.48E+07,5.99E+05,0,697.44,623.21,0.55992,0.074939
6.46E+07,8.48E+06,0,674.76,1340.3,0.61525,0.074939
6.43E+07,1.20E+06,0,670.76,2214.6,0.56888,0.074939
6.41E+07,1.91E+06,0,753.47,2928.8,0.58789,0.074939
6.37E+07,3.55E+06,0,774.76,3555.4,0.60627,0.074939
6.37E+07,4.09E+06,0,624.93,3746.2,0.62556,0.074939
6.24E+07,0,0,398.92,4701.6,0,0
0,4.95E+06,0,0,0,0.49283,0.091133
0,4.71E+06,0,60.315,0,0.50285,0.091133
6.60E+07,4.28E+06,0,188.22,0,0.51027,0.091133
6.61E+07,4.01E+06,0,210.23,0,0.51651,0.091133
6.61E+07,3.57E+06,0,252.41,0,0.52276,0.091133
6.59E+07,2.63E+06,0,543.64,0,0.54519,0.091133
6.56E+07,2.05E+06,0,662.12,0,0.56005,0.074939
6.51E+07,1.37E+06,0,709.33,0,0.56754,0.074939
6.54E+07,9.71E+05,0,728.71,0,0.57119,0.074939
6.51E+07,8.84E+05,0,731.98,0,0.57038,0.074939
6.46E+07,8.60E+05,0,726.94,688.11,0.57013,0.074939
6.43E+07,1.08E+06,0,725.33,1288.6,0.57481,0.074939
6.41E+07,1.41E+06,0,753.37,2048.8,0.58809,0.074939
6.39E+07,3.05E+06,0,754.55,2508.7,0.60604,0.074939
6.31E+07,3.76E+06,0,631.05,2957.2,0.63071,0.074939
6.29E+07,0,0,387.27,3951,0,0
0,4.05E+06,0,0,0,0.49927,0.091133
6.61E+07,3.79E+06,0,135.54,0,0.509,0.091133
6.61E+07,3.36E+06,0,194.17,0,0.51607,0.091133
6.61E+07,2.94E+06,0,246.71,0,0.52281,0.091133
6.62E+07,2.53E+06,0,378.66,0,0.53362,0.091133
