TARGET_FID,POINT_X,POINT_Y,class_new,h,m,s,u,MIN_depth,MAX_depth,RANGE_depth,MEAN_depth,STD_depth,DIST_NEW,BLOCK10_ID,OVER_LAND,dist_notes,depth_notes,MPA,PLATFORM,NAVIGATION,ANCHORAGE,MILITARY,OTHER,Status,Descriptio,trawlable,rec_fish,outfall,halibut,class_old,mussel.upfront.cost,mussel.yield ,mussel.annual.operating.costs,mussel.annual.profit,mussel.10.year.NPV ,kelp.yield,kelp.annual.operating.cost,kelp.upfront.cost ,kelp.10.year.NPV ,fish.yield,fish.annual.operating.costs,fish.price,fish.annual.revenue,halibut.10.year.NPV ,res_views_8k,res_views_3k,park_view_3k,park_views_8k,TOC.flux ,disease.risk 
1934,-117.1211905,32.45982633,undev,,,,1,-19.10000038,-0.100000001,19.00000038,-7.770078718,7.172479268,29221.00781,0,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1935,-117.1105781,32.45955157,undev,,,,1,-0.699999988,-0.300000012,0.399999976,-0.450000003,0.16583123,29635.22656,0,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2119,-119.2659422,32.50362585,undev,0.025675699,0.968954027,,0.00537012,-98.69999695,-88.80000305,9.899993896,-93.08484858,3.122558928,177646.631,890,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2120,-119.2553194,32.5035554,undev,0.00143228,0.989205003,,0.00936307,-98.40000153,-88.59999847,9.800003052,-94.3421489,1.605607271,177223.2961,890,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2121,-119.2446966,32.50348395,undev,,1,,,-95.09999847,-91.30000305,3.799995422,-92.53409022,0.87350165,176648.4717,890,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2122,-119.2340738,32.50341148,undev,,0.981697023,0.018302901,,-92.09999847,-89.19999695,2.900001526,-90.52727319,0.637531817,176166.4821,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2123,-119.223451,32.503338,undev,0.181263752,0.289261013,0.529474293,,-90.19999695,-86,4.199996948,-88.93636368,0.542479322,175752.3093,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2124,-119.2128282,32.50326351,undev,0.420834894,0.0114458,0.56771842,,-89,-84.19999695,4.800003052,-86.51404975,1.430442588,175338.1365,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2125,-119.2022055,32.503188,undev,0.227568513,0.081608601,0.690822624,,-94.69999695,-84.80000305,9.899993896,-91.62499971,3.472234869,174923.9628,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2126,-119.1915827,32.50311149,undev,0.098830289,0.465939999,0.435229565,,-98.5,-93.19999695,5.300003052,-95.6636357,1.406478599,174509.79,890,,,,,,,,,,open,fed,Y,yes, ,Y,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2304,-117.3013112,32.47337236,undev,,,,1,-81.30000305,-20.5,60.80000305,-44.84318206,17.33199096,26170.63086,916,,,,,,,,,,open,fed,Y,yes, ,N,undev,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
